# [0]VOLTS  [1]isub_xnmos_d  [2]isub_xpmos_d 
 3.900000e-01  1.099422e-06  -3.201369e-08 
 4.000000e-01  1.184817e-06  -1.530623e-08 
 4.100000e-01  1.267204e-06  -1.386591e-08 
 4.200000e-01  1.349580e-06  -1.242559e-08 
 4.300000e-01  1.431953e-06  -1.098527e-08 
 4.400000e-01  1.514321e-06  -9.544955e-09 
 4.500000e-01  1.596685e-06  -8.104635e-09 
 4.600000e-01  1.679046e-06  -6.664314e-09 
 4.700000e-01  1.761403e-06  -5.223992e-09 
 4.800000e-01  1.843755e-06  -3.783670e-09 
 4.900000e-01  1.926104e-06  -2.343347e-09 
 5.000000e-01  2.008449e-06  -9.030260e-10 
 5.100000e-01  2.032550e-06  -8.177236e-10 
 5.200000e-01  2.056416e-06  -7.324212e-10 
 5.300000e-01  2.080282e-06  -6.471187e-10 
 5.400000e-01  2.104147e-06  -5.618163e-10 
 5.500000e-01  2.128012e-06  -4.765139e-10 
 5.600000e-01  2.151876e-06  -3.912114e-10 
 5.700000e-01  2.175741e-06  -3.059090e-10 
 5.800000e-01  2.199604e-06  -2.206065e-10 
 5.900000e-01  2.223467e-06  -1.353041e-10 
 6.000000e-01  2.247330e-06  -5.000165e-11 
 6.100000e-01  2.258559e-06  -4.527506e-11 
 6.200000e-01  2.269730e-06  -4.054847e-11 
 6.300000e-01  2.280901e-06  -3.582188e-11 
 6.400000e-01  2.292072e-06  -3.109530e-11 
 6.500000e-01  2.303243e-06  -2.636871e-11 
 6.600000e-01  2.314414e-06  -2.164212e-11 
 6.700000e-01  2.325585e-06  -1.691553e-11 
 6.800000e-01  2.336756e-06  -1.218894e-11 
 6.900000e-01  2.347927e-06  -7.462359e-12 
 7.000000e-01  2.359097e-06  -2.735773e-12 
 
 0.000000e+00  1.079007e-10  -7.094550e-07 
 1.000000e-02  2.945592e-10  -7.052271e-07 
 2.000000e-02  4.812177e-10  -7.009992e-07 
 3.000000e-02  6.678762e-10  -6.967712e-07 
 4.000000e-02  8.545347e-10  -6.925433e-07 
 5.000000e-02  1.041193e-09  -6.883153e-07 
 6.000000e-02  1.227852e-09  -6.840873e-07 
 7.000000e-02  1.414510e-09  -6.798593e-07 
 8.000000e-02  1.601169e-09  -6.756313e-07 
 9.000000e-02  1.787827e-09  -6.714033e-07 
 1.000000e-01  1.974486e-09  -6.671643e-07 
 1.100000e-01  5.101796e-09  -6.547196e-07 
 1.200000e-01  8.229114e-09  -6.422748e-07 
 1.300000e-01  1.135643e-08  -6.298297e-07 
 1.400000e-01  1.448374e-08  -6.173846e-07 
 1.500000e-01  1.761105e-08  -6.049394e-07 
 1.600000e-01  2.073836e-08  -5.924940e-07 
 1.700000e-01  2.386566e-08  -5.800484e-07 
 1.800000e-01  2.699296e-08  -5.676027e-07 
 1.900000e-01  3.012026e-08  -5.551569e-07 
 2.000000e-01  3.324756e-08  -5.426837e-07 
 2.100000e-01  6.341560e-08  -5.051016e-07 
 2.200000e-01  9.358516e-08  -4.675182e-07 
 2.300000e-01  1.237544e-07  -4.299336e-07 
 2.400000e-01  1.539234e-07  -3.923477e-07 
 2.500000e-01  1.840922e-07  -3.547606e-07 
 2.600000e-01  2.142606e-07  -3.171722e-07 
 2.700000e-01  2.444288e-07  -2.795826e-07 
 2.800000e-01  2.745967e-07  -2.419917e-07 
 2.900000e-01  3.047643e-07  -2.043995e-07 
 3.000000e-01  3.349316e-07  -1.668135e-07 
 3.100000e-01  4.224698e-07  -1.515836e-07 
 3.200000e-01  5.100439e-07  -1.363535e-07 
 3.300000e-01  5.976156e-07  -1.211232e-07 
 3.400000e-01  6.851848e-07  -1.058929e-07 
 3.500000e-01  7.727514e-07  -9.066233e-08 
 3.600000e-01  8.603156e-07  -7.543166e-08 
 3.700000e-01  9.478773e-07  -6.020085e-08 
 3.800000e-01  1.035436e-06  -4.496990e-08 
 3.900000e-01  1.122993e-06  -2.973881e-08 
 4.000000e-01  1.210547e-06  -1.450798e-08 
 4.100000e-01  1.307852e-06  -1.314341e-08 
 4.200000e-01  1.405176e-06  -1.177883e-08 
 4.300000e-01  1.502496e-06  -1.041426e-08 
 4.400000e-01  1.599811e-06  -9.049686e-09 
 4.500000e-01  1.697122e-06  -7.685111e-09 
 4.600000e-01  1.794429e-06  -6.320535e-09 
 4.700000e-01  1.891732e-06  -4.955958e-09 
 4.800000e-01  1.989030e-06  -3.591380e-09 
 4.900000e-01  2.086324e-06  -2.226802e-09 
 5.000000e-01  2.183614e-06  -8.622243e-10 
 5.100000e-01  2.219266e-06  -7.807924e-10 
 5.200000e-01  2.254648e-06  -6.993605e-10 
 5.300000e-01  2.290029e-06  -6.179286e-10 
 5.400000e-01  2.325409e-06  -5.364967e-10 
 5.500000e-01  2.360788e-06  -4.550648e-10 
 5.600000e-01  2.396167e-06  -3.736329e-10 
 5.700000e-01  2.431545e-06  -2.922010e-10 
 5.800000e-01  2.466922e-06  -2.107691e-10 
 5.900000e-01  2.502298e-06  -1.293372e-10 
 6.000000e-01  2.537673e-06  -4.790533e-11 
 6.100000e-01  2.553082e-06  -4.337740e-11 
 6.200000e-01  2.568389e-06  -3.884947e-11 
 6.300000e-01  2.583696e-06  -3.432154e-11 
 6.400000e-01  2.599003e-06  -2.979361e-11 
 6.500000e-01  2.614309e-06  -2.526568e-11 
 6.600000e-01  2.629615e-06  -2.073775e-11 
 6.700000e-01  2.644922e-06  -1.620982e-11 
 6.800000e-01  2.660228e-06  -1.168189e-11 
 6.900000e-01  2.675534e-06  -7.153966e-12 
 7.000000e-01  2.690840e-06  -2.626038e-12 
 
 0.000000e+00  1.035785e-10  -6.656897e-14 
 1.000000e-02  2.924209e-10  -6.608603e-14 
 2.000000e-02  4.812635e-10  -6.560308e-14 
 3.000000e-02  6.701060e-10  -6.512568e-14 
 4.000000e-02  8.589485e-10  -6.464274e-14 
 5.000000e-02  1.047791e-09  -6.415979e-14 
 6.000000e-02  1.236634e-09  -6.367684e-14 
 7.000000e-02  1.425476e-09  -6.319390e-14 
 8.000000e-02  1.614319e-09  -6.271650e-14 
 9.000000e-02  1.803161e-09  -6.223355e-14 
 1.000000e-01  1.992004e-09  -6.175061e-14 
 1.100000e-01  5.155163e-09  -6.080692e-14 
 1.200000e-01  8.318332e-09  -5.986323e-14 
 1.300000e-01  1.148150e-08  -5.891399e-14 
